Disposal Facility,Longitude,Latitude,Disposal Facility Address,Capacity vol,Capacity wt
Koonwarra Landfill,145.9227861,-38.56059167,"Koonwarra, 3954, Victoria, Australia",50,20
Norstar,145.19533,-38.0239,"160-162 Colchester Rd, Bayswater North, 3153, Victoria, Australia",50,20
Visy,145.20488,-38.0149,"708 Princes Hwy, Springvale, 3171, Victoria, Australia",50,20
GT Recycling,144.43146,-38.16046,"100 Point Henry Rd, Moolap, 3221, Victoria, Australia",50,20
MRI,144.95083,-37.64961,"1789-1791 Sydney Rd, Campbellfield, 3061, Victoria, Australia",50,20
Envirodrums,144.95637,-37.65769,"46 Jesica Rd, Campbellfield, 3061, Victoria, Australia",50,20
