Facility Type,Facility Name,Code,Region,Address,Suburb,State,Postcode,Latitude,Longitude,Is Active
RRC/TS,Bemm River Transfer Station,F385,Gippsland WRRG,Sydenham Inlet Rd,Bemm River,VIC,,-36.5128000000,146.0005306000,true
RRC/TS,Bruthen Transfer Station,F386,Gippsland WRRG,Great Alpine Rd,Bruthen,VIC,,-37.7016400000,147.8340530000,true
RRC/TS,Buchan Recycling & Recovery Transfer Centre,F387,Gippsland WRRG,Buchan Rd,Buchan,VIC,,-37.5234510000,148.1608230000,true
RRC/TS,Dargo Transfer Station,F388,Gippsland WRRG,Kings St,Dargo,VIC,,-37.4598473480,147.2443249920,true
RRC/TS,Erica Transfer Station,F389,Gippsland WRRG,Mathiesons Rd,Erica,VIC,,-37.9816760000,146.3716490000,true
RRC/TS,Foster Transfer Station,F390,Gippsland WRRG,South Gippsland Hwy,Foster,VIC,,-38.6492720000,146.2104130000,true
RRC/TS,Genoa Transfer Station,F391,Gippsland WRRG,Princes Hwy,Genoa,VIC,,-37.4681000000,149.5894667000,true
RRC/TS,Grantville Resource Recovery Centre (at landfill site),F392,Gippsland WRRG,Cnr Bass Hwy & Stanley Rd,Grantville,VIC,,-38.4179920000,145.5304820000,true
RRC/TS,Heyfield Transfer Station,F393,Gippsland WRRG,Rifle Range Rd,Heyfield,VIC,,-37.9743430000,146.7633210000,true
RRC/TS,Inverloch Transfer Station,F394,Gippsland WRRG,Old Ford Road Screw Creek Road?,Inverloch,VIC,,-38.6266270000,145.7434540000,true
RRC/TS,Koonwarra Transfer Station Koonwarra,F395,Gippsland WRRG,Koonwarra-Inverloch Rd & Sewells Rd,Koonwarra,VIC,,-38.5567920000,145.9277350000,true
RRC/TS,Korumburra Transfer Station,F396,Gippsland WRRG,Silkstone Rd,Korumburra,VIC,,-38.4466920000,145.8352050000,true
RRC/TS,Lardner Transfer Station,F397,Gippsland WRRG,"Simpson Rd (Off Burnt Store Rd, Opposite Field Days Side Entrance)",Lardner,VIC,,-38.2227950000,145.8641510000,true
RRC/TS,Lindenow South Transfer Station,F398,Gippsland WRRG,Snobbs Lane,Lindenow Sth,VIC,,-37.8146361100,147.4224194000,true
RRC/TS,Loch Sport Transfer Station & Resource Recovery,F399,Gippsland WRRG,Progress Rd,Loch Sport,VIC,,-38.0656490000,147.5556320000,true
RRC/TS,Marlo Transfer Station,F400,Gippsland WRRG,Tip Rd,Marlo,VIC,,-37.7916500000,148.5496830000,true
RRC/TS,Metung Transfer Station & Resource Recovery,F401,Gippsland WRRG,130 Rosherville Rd,Metung,VIC,,-37.8512407000,147.8598313580,true
RRC/TS,Mirboo North Transfer Station,F402,Gippsland WRRG,Railway Rd,Mirboo North,VIC,,-38.4010940000,146.1720410000,true
RRC/TS,Moe Transfer Station,F403,Gippsland WRRG,Haunted Hills Rd,Newborough,VIC,,-38.1966460000,146.2978300000,true
RRC/TS,Morwell Transfer Station,F404,Gippsland WRRG,Porters Rd (Off Tramway Rd),Morwell,VIC,,-38.2559000000,146.4257000000,true
RRC/TS,Neerim South Transfer Station,F405,Gippsland WRRG,Neerim East Rd,Neerim South,VIC,,-38.0092900000,145.9681900000,true
RRC/TS,Newmerella Transfer Station,F406,Gippsland WRRG,Coringle Rd,Newmerella,VIC,,-37.7499290000,148.4249370000,true
RRC/TS,Omeo Recycling & Recovery Transfer Centre,F407,Gippsland WRRG,Margetts Lane,Omeo,VIC,,-37.0997220000,147.6046010000,true
RRC/TS,Rhyll Transfer Station,F408,Gippsland WRRG,309 Cowes-Rhyll Rd,Rhyll,VIC,,-38.4636920000,145.2938570000,true
RRC/TS,Sale Transfer Station,F409,Gippsland WRRG,Lacey St,Sale,VIC,,-38.1191583300,147.0775028000,true
RRC/TS,Seaspray Transfer Station,F410,Gippsland WRRG,Tip Rd,Seaspray,VIC,,-38.3665090000,147.1922140000,true
RRC/TS,Stratford Transfer Station & Resource Recovery Facility,F411,Gippsland WRRG,Wyndham St,Stratford,VIC,,-37.9577360000,147.0919830000,true
RRC/TS,Swifts Creek Recycling & Recovery Transfer Centre,F412,Gippsland WRRG,Swifts Creek Omeo Rd Cassilis Rd,Swifts Creek,VIC,,-37.2683070000,147.6984290000,true
RRC/TS,Trafalgar Transfer Station,F413,Gippsland WRRG,Giles Rd,Trafalgar,VIC,,-38.2215140000,146.1479500000,true
RRC/TS,Traralgon Transfer Station,F414,Gippsland WRRG,Depot Rd (South End Of Liddiard Rd),Traralgon,VIC,,-38.2137600000,146.5503300000,true
RRC/TS,Venus Bay Transfer Station,F415,Gippsland WRRG,3 Beach Rd (Cnr Canterbury Rd),Venus Bay,VIC,,-38.6963000000,145.8099722000,true
RRC/TS,Wairewa Transfer Station,F416,Gippsland WRRG,Carl Smith Road,Wairewa,VIC,,-37.6904000000,148.1904000000,true
RRC/TS,Walkerville Transfer Station,F417,Gippsland WRRG,Fish Creek Rd,Walkerville,VIC,,-38.8267220000,145.9975760000,true
RRC/TS,Wonthaggi Transfer Station,F418,Gippsland WRRG,180 Cameron St,Wonthaggi,VIC,,-38.6223150000,145.5799560000,true
RRC/TS,Yarram Transfer Station & Resource Recovery Facility,F419,Gippsland WRRG,Hyland Hwy,Yarram,VIC,,-38.5412810000,146.7096880000,true
RRC/TS,Yinnar Transfer Station,F420,Gippsland WRRG,Whitelaws Track,Yinnar South,VIC,,-38.3491580000,146.3248860000,true
RRC/TS,Ardmona Transfer Station,F421,Goulburn Valley WRRG,Cnr Midland Hwy & Turnbull Rd,Ardmona,VIC,,-36.3750170000,145.2918980000,true
RRC/TS,Avenel Transfer Station,F422,Goulburn Valley WRRG,Monea Rd,Avenel,VIC,,-36.8848222200,145.2383556000,true
RRC/TS,Barmah Transfer Station,F423,Goulburn Valley WRRG,Cnr Moira Lakes Rd & Racecourse Rd,Barmah,VIC,,-36.0062305600,144.9627667000,true
RRC/TS,Broadford Transfer Station,F424,Goulburn Valley WRRG,Off Mia Mia Rd,Broadford,VIC,,-37.2296930000,145.0777600000,true
RRC/TS,Colbinabbin Transfer Station & Resource Recovery,F425,Goulburn Valley WRRG,Cemetery Rd,Colbinabbin,VIC,,-36.5961500000,144.8010000000,true
RRC/TS,Echuca Environment Centre,F426,Goulburn Valley WRRG,McKenzie Rd,Echuca,VIC,,-36.1380520000,144.7422540000,true
RRC/TS,Eildon Transfer Station,F427,Goulburn Valley WRRG,Jerusalem Creek Rd (Might Be Just Jerusalem Rd),Eildon,VIC,,-37.2368270000,145.9232120000,true
RRC/TS,Euroa Transfer Station,F428,Goulburn Valley WRRG,Tip Rd,Euroa,VIC,,-36.7605920000,145.5521140000,true
RRC/TS,Gunbower Transfer Station,F429,Goulburn Valley WRRG,Murray Valley Hwy,Gunbower,VIC,,-35.9644200000,144.3767800000,true
RRC/TS,Kinglake Transfer Station,F430,Goulburn Valley WRRG,Watsons Rd,Kinglake West,VIC,,-37.4719710000,145.2761210000,true
RRC/TS,Lockington Transfer Station,F431,Goulburn Valley WRRG,Cnr Keane And O'Donnell Rds,Lockington,VIC,3563,-36.3346805600,144.5068250000,true
RRC/TS,Marysville Transfer Station,F432,Goulburn Valley WRRG,Sunds Mill Crt (Might Just Be Sunds Rd),Marysville,VIC,,-37.5065080000,145.7385820000,true
RRC/TS,Mt Scobie Transfer Station (also known as Kyabram),F433,Goulburn Valley WRRG,Cnr Curr & Everard Rds,Kyabram,VIC,,-36.3126300000,144.9805000000,true
RRC/TS,Murchison Transfer Station,F434,Goulburn Valley WRRG,Cnr Old Whroo Rd & Cassidy Rd,Murchison,VIC,3610,-36.6225166700,145.1918528000,true
RRC/TS,Nagambie Transfer Station,F435,Goulburn Valley WRRG,McDonald's Rd,Nagambie,VIC,,-36.7813080000,145.1947190000,true
RRC/TS,Nathalia Transfer Station,F436,Goulburn Valley WRRG,Shepparton-Barmah Rd & Balls Rd,Nathalia,VIC,,-36.0832510000,145.1873150000,true
RRC/TS,Numurkah Transfer Station,F437,Goulburn Valley WRRG,Naring Rd (Btwn Hendys Rd & Lorenzs Rd),Numurkah,VIC,,-36.0832510000,145.1873150000,true
RRC/TS,Pyalong Transfer Station,F438,Goulburn Valley WRRG,Ladderhill Rd,Pyalong,VIC,,-37.1141260000,144.8647260000,true
RRC/TS,Rochester Transfer Station & Resource Recovery,F439,Goulburn Valley WRRG,Cnr High St & Stephen St,Rochester,VIC,,-36.3564560000,144.7098330000,true
RRC/TS,Rushworth Transfer Station,F440,Goulburn Valley WRRG,Nine Mile Rd,Rushworth,VIC,3612,-36.6003000000,145.0009360000,true
RRC/TS,Seymour Resource Recovery Facility (at landfill site),F441,Goulburn Valley WRRG,Cnr Hume & Hovell Rd,Seymour,VIC,,-37.0523110000,145.1521000000,true
RRC/TS,Shepparton Transfer Station,F442,Goulburn Valley WRRG,125 Wanganui Rd,Shepparton,VIC,,-36.3477060000,145.3881230000,true
RRC/TS,St James Transfer Station,F443,Goulburn Valley WRRG,Kelly's Rd South Of St James Rd,St James,VIC,,-36.2782200000,145.8775360000,true
RRC/TS,Strathmerton Transfer Station,F444,Goulburn Valley WRRG,Murray Valley Hwy (Btwn Ruttles Rd & Stokes Rd),Strathmerton,VIC,,-35.9235990000,145.5253610000,true
RRC/TS,Toolleen Transfer Station & Resource Recovery,F445,Goulburn Valley WRRG,Cornella Toolleen Rd,Toolleen,VIC,,-36.7091760000,144.7131880000,true
RRC/TS,Tungamah Transfer Station,F446,Goulburn Valley WRRG,Tungamah Rd (Btwn Chinamans Lane & Cemetery Rd),Tungamah,VIC,,-36.1408310000,145.8787080000,true
RRC/TS,Violet Town Resource Transfer Station,F447,Goulburn Valley WRRG,190 McDiarmids Rd,Violet Town,VIC,3669,-36.6707350000,145.6689640000,true
RRC/TS,Wallan Transfer Station,F448,Goulburn Valley WRRG,"Wallan Industrial Estate, Freeway Drive",Wallan,VIC,3756,-37.4172300000,145.0006000000,true
RRC/TS,Yabba Transfer Station,F449,Goulburn Valley WRRG,Yabba South Rd (Btwn Katandra Rd & Jeffrey's Rd),Yabba,VIC,,-36.2403430000,145.6499740000,true
RRC/TS,Yarrawonga Transfer Station,F450,Goulburn Valley WRRG,Channel Rd,Yarrawonga,VIC,,-36.0407030000,146.0018750000,true
RRC/TS,Yea Transfer Station,F451,Goulburn Valley WRRG,Ghin Ghin Rd,Yea,VIC,,-37.2052000000,145.3864530000,true
RRC/TS,Ararat Resource Recovery Centre,F452,Grampians Central West WRRG,Surface Hill Rd (Off Queen St S,Ararat,VIC,,-37.2965350000,142.9304710000,true
RRC/TS,Beulah Transfer Station & Resource Recovery Centre,F453,Grampians Central West WRRG,Birchip - Rainbow Rd,Beulah,VIC,,-35.9309777800,142.4408611000,true
RRC/TS,Elmhurst Landfill & Resource Recovery Centre (unlicensed) (hard waste only),F454,Grampians Central West WRRG,Mckay St,Elmhurst,VIC,,-37.1895470000,143.2525740000,true
RRC/TS,Glenorchy Resource Recovery Centre,F455,Grampians Central West WRRG,Arapiles St,Glenorchy,VIC,3385,-36.9070833300,142.6573333000,true
RRC/TS,Great Western (Green Waste Only),F456,Grampians Central West WRRG,Salt Creek Rd Old Great Western And Bulgan Rds,Great Western,VIC,,-37.1185500000,142.8783000000,true
RRC/TS,Halls Gap Transfer Station,F457,Grampians Central West WRRG,4300 Ararat - Halls Gap Rd,Halls Gap,VIC,,-37.1116305600,142.5824194000,true
RRC/TS,Hopetoun Transfer Station & Resource Recovery Centre,F458,Grampians Central West WRRG,Hopetoun - Yaapeet Rd,Hopetoun,VIC,,-35.7372416700,142.3465278000,true
RRC/TS,Horsham Transfer Station & Resource Recovery Centre,F459,Grampians Central West WRRG,Kenny Road,Horsham,VIC,3400,-36.7416720000,142.1858110000,true
RRC/TS,Jung Transfer Station & Resource Recovery Centre,F460,Grampians Central West WRRG,Jung Recreation Reserve Rd,Jung,VIC,,-36.6010930000,142.3937660000,true
RRC/TS,Lake Bolac landfill & Resource Recovery Centre (unlicensed) (hard waste only),F461,Grampians Central West WRRG,Rubbish Tip Rd,Lake Bolac,VIC,,-37.7025850000,142.8280060000,true
RRC/TS,Minyip Transfer Station & Resource Recovery Centre,F462,Grampians Central West WRRG,Minyip-Stawell Rd,Minyip,VIC,,-36.4699090000,142.5906690000,true
RRC/TS,Moyston Landfill & Resource Recovery Centre (unlicensed) (hard waste only),F463,Grampians Central West WRRG,Off Moyston West Rd,Moyston,VIC,,-37.2917100000,142.7344000000,true
RRC/TS,Murtoa Transfer Station & Resource Recovery Centre,F464,Grampians Central West WRRG,Murtoa - Rupanyup Rd,Murtoa,VIC,,-36.6219833300,142.4967000000,true
RRC/TS,Pimpinio Transfer Station & Resource Recovery Facility,F465,Grampians Central West WRRG,Banyena Rd,Pimpinio,VIC,,-36.5814410000,142.1280120000,true
RRC/TS,Pomonal Landfill & Resource Recovery Centre (unlicensed) (hard waste only),F466,Grampians Central West WRRG,Pomonal East Rd,Pomonal,VIC,,-37.1951850000,142.6371990000,true
RRC/TS,Quantong Transfer Station & Resource Recovery Centre,F467,Grampians Central West WRRG,SW Cnr Hutchinson Rd & Lanes Av,Quantong,VIC,,-36.7564130000,142.0440200000,true
RRC/TS,Rupanyup Transfer Station & Resource Recovery Centre,F468,Grampians Central West WRRG,Dyer Street,Rupanyup,VIC,,-36.6340944400,142.6291361000,true
RRC/TS,Stawell Transfer Station,F469,Grampians Central West WRRG,Lavett Road,Stawell,VIC,,-37.0726810000,142.8100420000,true
RRC/TS,Streatham Resource Recovery Centre (hard waste only),F470,Grampians Central West WRRG,Nerrim Nerrim - Boundary Rd,Streatham,VIC,3351,-37.6806960000,143.0412310000,true
RRC/TS,Tatyoon Landfill & Resource Recovery Centre (unlicensed) (hard waste only),F471,Grampians Central West WRRG,Off Porters Bridge Rd,Tatyoon,VIC,,-37.5350640000,142.9563670000,true
RRC/TS,Toolondo Transfer Station & Resource Recovery Facility,F472,Grampians Central West WRRG,Telangatuk East Road,Toolondo,VIC,,-37.0001550000,141.9744050000,true
RRC/TS,Willaura Landfill & Resource Recovery Centre (unlicensed) (hard waste only),F473,Grampians Central West WRRG,Wickcliffe - Willaura Rd,Willaura,VIC,,-37.5779530000,142.7330210000,true
RRC/TS,Woomelang Transfer Station & Resource Recovery Centre,F474,Grampians Central West WRRG,Off Hopetoun Sea Lake Rd,Woomelang,VIC,,-35.6778240000,142.6780250000,true
RRC/TS,Avoca Transfer Station,F475,Grampians Central West WRRG,Russell St,Avoca,VIC,,-37.0851390000,143.4813810000,true
RRC/TS,Bacchus Marsh Transfer Station,F476,Grampians Central West WRRG,Moore Street South,Bacchus Marsh,VIC,,-37.6874550000,144.4435910000,true
RRC/TS,Ballan Transfer Station,F477,Grampians Central West WRRG,Montville Lane,Ballan,VIC,,-37.6017500000,144.2697000000,true
RRC/TS,Ballarat Transfer Station,F478,Grampians Central West WRRG,Gillies St,Ballarat,VIC,,-37.5664120000,143.8161620000,true
RRC/TS,Bealiba Transfer Station,F479,Grampians Central West WRRG,Whitehills Rd,Bealiba,VIC,,-36.7927805600,143.5446028000,true
RRC/TS,Beaufort Transfer Station,F480,Grampians Central West WRRG,Racecourse Rd,Beaufort,VIC,,-37.4253930000,143.3964990000,true
RRC/TS,Carisbrook Transfer Station,F481,Grampians Central West WRRG,Potts Lane,Carisbrook,VIC,3464,-37.0648000000,143.7918000000,true
RRC/TS,Creswick Transfer Station and Resale Centre,F482,Grampians Central West WRRG,32 Anne Street (Off Ring Road),Creswick,VIC,,-37.4156010000,143.8863860000,true
RRC/TS,Daylesford Transfer Station and Resale Centre,F483,Grampians Central West WRRG,Ajax Rd,Daylesford,VIC,,-37.3342100000,144.1307000000,true
RRC/TS,Dunolly Transfer Station,F484,Grampians Central West WRRG,Maryborough Dunolly Rd,Dunolly,VIC,,-36.8795200000,143.7532100000,true
RRC/TS,Landsborough Transfer Station,F485,Grampians Central West WRRG,Ararat St &St Arnaud Rd,Landsborough,VIC,,-37.0153090000,143.1348390000,true
RRC/TS,Mt Egerton Transfer Station,F486,Grampians Central West WRRG,Cnr Ballan Egerton Rd & Yendon Egerton Rd,Mount Egerton,VIC,,-37.6337790000,144.1075140000,true
RRC/TS,Snake Valley Transfer Station,F487,Grampians Central West WRRG,Rikleys Rd,Snake Valley,VIC,,-37.6230740000,143.5752620000,true
RRC/TS,Talbot Transfer Station,F488,Grampians Central West WRRG,Rockyflat Rd,Talbot,VIC,,-37.1656138900,143.7135750000,true
RRC/TS,Trentham Transfer Station & Resale Centre,F489,Grampians Central West WRRG,Trentham Blackwood Road,Trentham,VIC,,-37.3965960000,144.3203370000,true
RRC/TS,Boinka Hard Waste Compound,F490,Loddon Mallee WRRG,Boinka Township,Boinka,VIC,,-35.2000670000,141.6053220000,true
RRC/TS,Cowangie Hard Waste Compound,F491,Loddon Mallee WRRG,,Cowangie,VIC,3506,-35.2427780000,141.3869440000,true
RRC/TS,Hattah Hard Waste Compound,F492,Loddon Mallee WRRG,,Hattah,VIC,,-34.7636520000,142.2768770000,true
RRC/TS,Lake Cullulleraine Waste Transfer Station,F493,Loddon Mallee WRRG,Sturt Highway,Cullulleraine,VIC,,-34.2776060000,141.5973310000,true
RRC/TS,Lindsay Point Transfer Station,F494,Loddon Mallee WRRG,,Lindsay Point,VIC,3500,-34.0943890000,141.0386940000,true
RRC/TS,Meringur Transfer Station,F495,Loddon Mallee WRRG,"Part Allotment 16, 17 & 18, Section  D",Meringur,VIC,,-34.3934420000,141.3388430000,true
RRC/TS,Mildura Transfer Station & Recovery Facility,F496,Loddon Mallee WRRG,"Ontario Av,",Mildura,VIC,,-34.1880610000,142.1370690000,true
RRC/TS,Mittyack Transfer Station,F497,Loddon Mallee WRRG,,Mittyack,VIC,,-35.1566040000,142.6577820000,true
RRC/TS,Nangiloc Transfer Station,F498,Loddon Mallee WRRG,Castle Crossing Rd,Nangiloc,VIC,,-34.4988100000,142.3587440000,true
RRC/TS,Tutye Hard Waste Compound,F499,Loddon Mallee WRRG,Tutye Township,Tutye,VIC,,-35.2221820000,141.4827160000,true
RRC/TS,Underbool Transfer Station,F500,Loddon Mallee WRRG,Malkin Ave,Underbool,VIC,,-35.1784260000,141.8070470000,true
RRC/TS,Walpeup Transfer Station,F501,Loddon Mallee WRRG,Allotment 17C & 17D,Walpeup,VIC,,-35.1423020000,142.0286510000,true
RRC/TS,Werrimull Transfer Station,F502,Loddon Mallee WRRG,King St,Werrimull,VIC,,-34.3890700000,141.5926300000,true
RRC/TS,Mornington Outlook Recovery Centre,F503,Metropolitan WRRG,29 Racecourse Rd,Mornington,VIC,,-38.2363250000,145.0658944440,true
RRC/TS,Mornington Transfer Station,F504,Metropolitan WRRG,134  Watt Rd (And Racecourse Rd),Mornington,VIC,,-38.2327630000,145.0619530000,true
RRC/TS,SKM  (formerly Mornington Peninsula Recyclers),F505,Metropolitan WRRG,16 Carbine Way,Mornington,VIC,,-38.2298555556,145.0675861110,true
RRC/TS,Tyabb Transfer Station,F506,Metropolitan WRRG,21 Mckirdys Rd,Tyabb East,VIC,,-38.2599330000,145.2196580000,true
RRC/TS,Beechworth Transfer Station,F507,North East WRRG,Cnr Radcliffe Rd & Diffey Rd,Beechworth,VIC,,-36.3737080000,146.6774480000,true
RRC/TS,Boorhaman Transfer Station,F508,North East WRRG,Cnr Naughtins Rd And Boorhaman Rd,Boorhaman,VIC,,-36.2330972200,146.2810556000,true
RRC/TS,Eldorado Transfer Station,F509,North East WRRG,Woolshed Rd,Eldorado,VIC,,-36.3181555600,146.5299361000,true
RRC/TS,Falls Creek Village Transfer Station,F510,North East WRRG,Bogon High Plains Rd,Falls Creek,VIC,3699,-36.8614800000,147.2766900000,true
RRC/TS,Glenrowan Transfer Station,F511,North East WRRG,Twamely Rd,Glenrowan,VIC,,-36.4651972200,146.2084278000,true
RRC/TS,Mansfield Resource Recovery Centre (formerly landfill ES411?),F512,North East WRRG,Monkey Gully Road,Mansfield,VIC,3722,-37.0930500000,146.0906000000,true
RRC/TS,Markwood Transfer Station,F513,North East WRRG,145 Forest Lane,Markwood,VIC,,-36.4678777800,146.4762167000,true
RRC/TS,Moyhu Transfer Station,F514,North East WRRG,567 Boggy Creek Rd,Moyhu,VIC,,-36.6357870333,146.3520598500,true
RRC/TS,Mt Beauty Transfer Station,F515,North East WRRG,Madison's Lane (Off Dam's Rd),Mt Beauty,VIC,,-36.7290520000,147.1747180000,true
RRC/TS,Mt Buller Transfer Station,F516,North East WRRG,Btwn Resort Gate & Resort Village,Mt Buller,VIC,3723,-37.1465400000,146.4526240000,true
RRC/TS,Porepunkah Transfer Station & Recycling Centre,F517,North East WRRG,Off Roberts Creek Road,Porepunkah,VIC,3740,-36.6939530000,146.9584000000,true
RRC/TS,Rutherglen Transfer Station,F518,North East WRRG,Cnr Great Southern Rd & Cornishtown Rd,Rutherglen,VIC,,-36.0734220000,146.4894220000,true
RRC/TS,Springhurst Transfer Station,F519,North East WRRG,Vipond Rd,Springhurst,VIC,,-36.2012090000,146.4780830000,true
RRC/TS,Tallangatta Transfer Station,F520,North East WRRG,Tallangatta Creek Rd (3Km From Murray Valley Hwy),Bullioh,VIC,,-36.2052750000,147.3375340000,true
RRC/TS,Wangaratta Transfer Station,F521,North East WRRG,Sandford Rd,Wangaratta,VIC,,-36.3694970000,146.2897080000,true
RRC/TS,Whitfield Transfer Station,F522,North East WRRG,5865 Mansfield Whitfield Rd,Whitfield,VIC,,-36.7724600000,146.4096900000,true
RRC/TS,Wodonga Transfer Station,F523,North East WRRG,29 Kane Rd,Wodonga,VIC,,-36.1170000000,146.9044000000,true
RRC/TS,Woods Point,F524,North East WRRG,,,VIC,,-37.5706722222,146.2556138890,true
RRC/TS,Austral Waste Group (operate in Vic as Statewide Waste),F525,Barwon South West WRRG,355 Koroit St,Warrnambool,VIC,3280,-38.3754305556,142.4642888890,true
RRC/TS,Balmoral Transfer Station,F526,Barwon South West WRRG,55 Natimuk-Hamilton Rd,Balmoral,VIC,,-37.2429830000,141.8388040000,true
RRC/TS,Barton's Waste Transfer Station,F527,Barwon South West WRRG,Lot 20 Harrington Road,Warrnambool,VIC,,-38.3676340000,142.4504200000,true
RRC/TS,Bessiebelle Transfer Station,F528,Barwon South West WRRG,Portland Road,Bessiebelle,VIC,,-38.1558600000,141.9567000000,true
RRC/TS,Branxholme Transfer Station,F529,Barwon South West WRRG,114 Branxholme - Byaduk Rd,Branxholme,VIC,,-37.8631630000,141.8100040000,true
RRC/TS,Caramut Transfer Station,F530,Barwon South West WRRG,Gibson Street,Caramut,VIC,,-37.9572680000,142.5256600000,true
RRC/TS,Cavendish Transfer Station & Resource Recovery,F531,Barwon South West WRRG,2478 Henty Hwy,Cavendish,VIC,,-37.5294140000,142.0340480000,true
RRC/TS,Coleraine Transfer Station,F532,Barwon South West WRRG,44 Robertson St,Coleraine,VIC,,-37.6036550000,141.7016210000,true
RRC/TS,Derrinallum Transfer Station & Resource Recovery,F533,Barwon South West WRRG,Heards Rd,Derrinallum,VIC,,-37.9697730000,143.1934040000,true
RRC/TS,Dunkeld Transfer Station,F534,Barwon South West WRRG,7 Bellicourt Rd,Dunkeld,VIC,,-37.6583960000,142.3488620000,true
RRC/TS,Glenthompson Transfer Station,F535,Barwon South West WRRG,Boundary Rd (off GT-Ararat Rd),Glenthompson,VIC,,-37.6225222200,142.5522583000,true
RRC/TS,Hawkesdale Resource Recovery Centre,F536,Barwon South West WRRG,Baird Street,Hawkesdale,VIC,,-38.1021080000,142.3281690000,true
RRC/TS,Heywood Resource Recovery Centre,F537,Barwon South West WRRG,Off Catons Flat Rd,Heywood,VIC,3304,-38.1380361100,141.5970611000,true
RRC/TS,Jarrads Road Resource Recovery Centre,F538,Barwon South West WRRG,Jarrads Road,Merino,VIC,3310,-37.7424166700,141.5227222200,true
RRC/TS,Macarthur Recycling Receival Facilities (at landfill site),F539,Barwon South West WRRG,Myamym - Macarthur Rd,Macarthur,VIC,,-38.0126050000,141.9752490000,true
RRC/TS,Mortlake Transfer Station & Resource Recovery Facility,F540,Barwon South West WRRG,Connewarren Lane,Mortlake,VIC,,-38.0689800000,142.7691710000,true
RRC/TS,Norm's Waste Disposal,F541,Barwon South West WRRG,47 Pioneer St,Hamilton,VIC,3300,-37.7456666667,142.0018500000,true
RRC/TS,Penshurst Transfer Station,F542,Barwon South West WRRG,Depot Rd,Penshurst,VIC,,-37.8565166700,142.3195028000,true
RRC/TS,Peterborough Transfer Station & Resource Recovery Facility,F543,Barwon South West WRRG,McGillivray Road,Peterborough,VIC,,-38.5938630000,142.8681190000,true
RRC/TS,Port Campbell Transfer Station & Resource Recovery,F544,Barwon South West WRRG,McRae St,Port Campbell,VIC,,-38.6195080000,143.0052370000,true
RRC/TS,Port Fairy Transfer Station & Resource Recovery,F545,Barwon South West WRRG,Thwaites Road,Port Fairy,VIC,,-38.3729950000,142.2041670000,true
RRC/TS,Simpson Transfer Station & Resource Recovery,F546,Barwon South West WRRG,Princetown Rd,Simpson,VIC,,-38.5009470000,143.2087120000,true
RRC/TS,Skipton Transfer Station & Resource Recovery,F547,Barwon South West WRRG,Beaufort Rd,Skipton,VIC,,-37.6827888900,143.3584056000,true
RRC/TS,Timboon Transfer Station & Resource Recovery,F548,Barwon South West WRRG,Timboon-Curdies Rd,Timboon,VIC,,-38.4950640000,142.9811300000,true
RRC/TS,Woolsthorpe Transfer Station & Resource Recovery,F549,Barwon South West WRRG,Mt Taurus Road,Woolsthorpe,VIC,,-38.2118510000,142.4193350000,true
RRC/TS,Woorndoo Transfer Station,F550,Barwon South West WRRG,Cameron Street,Woorndoo,VIC,,-37.8848880000,142.7995800000,true
RRC/TS,Banyule Waste Recovery Centre,F551,Metropolitan WRRG,Cnr Waterdale Rd & Banksia St,Bellfield,VIC,3081,-37.7565230000,145.0443390000,true
RRC/TS,Bayside Waste & Recycling Centre,F552,Metropolitan WRRG,144 Talinga Rd,Cheltenham,VIC,3192,-37.9623310000,145.0361170000,true
RRC/TS,Boroondara Transfer Station,F553,Metropolitan WRRG,648 Riversdale Rd,Camberwell,VIC,3124,-37.8348460000,145.0703560000,true
RRC/TS,Brimbank City Council Detox Centre,F554,Metropolitan WRRG,Stadium Drive,Keilor Park,VIC,,-37.7129330000,144.8499970000,true
RRC/TS,Brooklyn Landfill and Waste Recycling,F555,Metropolitan WRRG,Old Geelong Rd,Brooklyn,VIC,3012,-37.8177000000,144.8280000000,true
RRC/TS,Brunswick Waste Transfer Station (Whelan Kartaway),F556,Metropolitan WRRG,32 Kirkdale St,Brunswick East,VIC,3057,-37.7705150000,144.9823930000,true
RRC/TS,Campbellfield Recycling & Waste Transfer Station (at landfill site),F557,Metropolitan WRRG,Bolinda Rd,Campbellfield,VIC,3061,-37.6848580000,144.9672410000,true
RRC/TS,Cardinia Waste and Recyclers,F558,Metropolitan WRRG,Exchange Drive (off Kooweerup Rd),Pakenham,VIC,3810,-38.0969390000,145.4932190000,true
RRC/TS,CityWide Waste & Recycling Centre,F559,Metropolitan WRRG,437 Dynon Rd,Kensington,VIC,3031,-37.8028200000,144.9137490000,true
RRC/TS,Clarinda Landfill Transfer Station,F560,Metropolitan WRRG,Carroll Road,Clarinda,VIC,,-37.9330083333,145.0913361110,true
RRC/TS,Clayton Transfer Station (at regional landfill),F561,Metropolitan WRRG,654-718 Clayton Rd,Clayton,VIC,3169,-37.9532250000,145.1148560000,true
RRC/TS,Clifton Hill Recycling Drop-off Centre,F562,Metropolitan WRRG,Roseneath St,Clifton Hill,VIC,3068,-37.7935890000,145.0016890000,true
RRC/TS,Coldstream Recovery & Waste Transfer Station,F563,Metropolitan WRRG,200 Leonard Rd,Lilydale,VIC,3140,-37.7381500000,145.3965950000,true
